route_id,agency_id,route_short_name,route_long_name
B74,ATM,B74,Famagosta M2 - P.le Cantore
B74,ATM,B74,P.le Cantore - Famagosta M2
B76,ATM,B76,Quinto Romano - Bisceglie M1
B76,ATM,B76,Bisceglie M1 - Quinto Romano
B77,ATM,B77,Poasco - San Donato M3
B77,ATM,B77,San Donato M3 - Poasco
B78,ATM,B78,Via Govone - Bisceglie M1
B78,ATM,B78,Bisceglie M1 - Via Govone
B79,ATM,B79,Q.re Gratosoglio - P.ta Lodovica
B79,ATM,B79,P.ta Lodovica - Q.re Gratosoglio
B80,ATM,B80,N80 - Molino Dorino M1 - De Angeli M1
B80,ATM,B80,N80 - De Angeli M1 - Molino Dorino M1
B81,ATM,B81,Sesto Marelli M1 - Lambrate FS
B81,ATM,B81,Lambrate FS - Sesto Marelli M1
B82,ATM,B82,Bovisasca - Zara M3 M5
B82,ATM,B82,Zara M3 M5 - Bovisasca
B84,ATM,B84,V.le Martini - L.go Augusto
B84,ATM,B84,L.go Augusto - V.le Martini
B85,ATM,B85,L.go Augusto - Bolivar M4
B85,ATM,B85,Bolivar M4 - L.go Augusto
B86,ATM,B86,Crescenzago M2 - Ca' Granda M5
B86,ATM,B86,Ca' Granda M5 - Crescenzago M2
B87,ATM,B87,Villa San Giovanni M1 - Centrale FS
B87,ATM,B87,Centrale FS - Villa San Giovanni M1
B88,ATM,B88,Rogoredo FS M3 - Linate
B88,ATM,B88,Linate - Rogoredo FS M3
B89,ATM,B89,Novate Milanese - Affori FN-M3
B89,ATM,B89,Affori FN-M3 - Novate Milanese
B90,ATM,B90,N90 - Isonzo - Lotto (Circolare destra)
B90,ATM,B90,N90 - Lotto - Isonzo (Circolare destra)
B91,ATM,B91,N91 - Isonzo - Lotto (Circolare sinistra)
B91,ATM,B91,N91 - Lotto - Isonzo (Circolare sinistra)
B92,ATM,B92,Bovisa FN - Viale Isonzo
B92,ATM,B92,Viale Isonzo - Bovisa FN
B93,ATM,B93,Lambrate - Viale Omero
B93,ATM,B93,Viale Omero - Lambrate
